16,01/09/21,0,dmqw
17,02/09/21,16/12/21,qmqw
29,02/09/21,19/10/21,smlw
24,02/09/21,0,qmqw
0,02/09/21,16/12/21,jfnm
36,03/09/21,0,wiqj
15,03/09/21,0,cnoe
14,06/09/21,0,mqls
19,07/09/21,20/10/21,qlwm
1,08/10/21,17/10/21,jfkd
35,09/10/21,10/11/21,dmep
2,09/10/21,10/10/21,ksmc
13,10/10/21,0,lkre
30,10/10/21,16/10/21,fbue
3,11/10/21,20/10/21,iere
27,12/10/21,02/11/21,zeqs
4,12/10/21,25/10/21,oiue
5,13/10/21,21/10/21,lawq
20,13/10/21,14/10/21,eiwo
6,14/10/21,17/10/21,pwoe
28,14/10/21,21/10/21,snwm
18,15/10/21,29/10/21,mqos
7,15/10/21,25/10/21,epwi
8,16/10/21,28/10/21,mnds
25,16/10/21,25/11/21,dkeo
9,17/10/21,18/10/21,zxal
32,17/10/21,21/10/21,quwo
10,18/10/21,28/10/21,pwmm
20,18/10/21,01/11/21,eolw
11,19/10/21,21/10/21,eirj
12,19/10/21,23/10/21,pwqi
30,20/10/21,12/11/21,isuy
3,21/10/21,03/11/21,kawu
6,22/10/21,23/10/21,alwi
21,22/10/21,25/10/21,fmow
1,23/10/21,25/20/21,auwh
9,24/10/21,27/10/21,ijfs
34,24/10/21,02/11/21,dpqw
6,25/10/21,28/10/21,sjfi
29,25/10/21,09/11/21,wlpq
2,25/10/21,01/11/21,awqp
1,26/10/21,01/11/21,mvnd
7,27/10/21,29/10/21,keop
5,27/10/21,0,mcna
37,28/10/21,09/11/21,fhwu
4,28/10/21,31/10/21,awmq
31,28/10/21,09/11/21,sldi
9,28/10/21,29/10/21,mbns
10,29/10/21,03/11/21,mmnz
32,29/10/21,10/11/21,bvii
11,29/10/21,04/11/21,pwlw
21,29/10/21,01/11/21,wniq
12,29/10/21,31/10/21,atgf
6,29/10/21,30/10/21,skjw
7,30/10/21,01/11/21,anwy
8,30/10/21,05/11/21,bvhf
38,30/11/21,08/11/21,wiqo
26,31/10/21,03/11/21,mcoa
4,31/10/21,01/11/21,ahyw
23,31/10/21,07/11/21,cldo
19,31/10/21,08/11/21,fjso
6,31/10/21,07/11/21,csdw
9,31/10/21,02/11/21,ctyt
2,01/11/21,06/11/21,qwoi
22,01/11/21,10/11/21,wfiw
4,02/11/21,04/11/21,mvns
12,02/11/21,0,mxna
1,03/11/21,0,voep
28,03/11/21,16/11/21,oqpw
7,03/11/21,0,weoq
9,04/11/21,0,pomw
33,04/11/21,08/11/21,cnzo
11,05/11/21,0,miek
10,06/11/21,0,itjd
8,07/11/21,0,vmqw
26,07/11/21,12/11/21,wiqp
4,08/11/21,0,mbna
2,08/11/21,0,mvna
3,09/11/21,0,dska
6,10/11/21,11/11/21,smva
6,12/11/21,0,vmaw
25,12/11/21,17/11/21,awuz
40,12/11/21,0,coml
33,12/11/21,16/12/21,cbak
18,12/11/21,0,djsn
19,12/11/21,0,kawl
20,13/11/21,0,chnz
21,13/11/21,0,dkan
22,14/11/21,0,lsme
23,14/11/21,0,lekw
38,14/11/21,0,vmse
29,14/11/21,0,gjro
35,15/11/21,0,epwl
31,16/11/21,0,wncu
30,16/11/21,0,malw
27,18/11/21,0,zxnw
26,18/11/21,0,lwoa
37,18/11/21,0,pwoe
25,19/11/21,0,ueuw
32,19/11/21,0,ytei
39,20/11/21,0,csnw
28,20/11/21,0,xbvd
34,20/11/21,0,fhas
33,16/12/21,16/12/21,fjwj
33,16/12/21,16/12/21,coml
33,16/12/21,0,coml
33,16/12/21,0,coml
33,16/12/21,0,coml
33,16/12/21,0,coml
33,16/12/21,0,coml
33,16/12/21,0,coml
33,16/12/21,0,coml
33,16/12/21,0,coml
33,16/12/21,0,coml
